,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
ago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,42","0,45","0,16","0,18","0,25","0,31","-0,03","0,00",,,,,,,,
set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,45","0,63","0,27","0,49","0,51","0,08","-0,02","0,30",,,,,,,,
out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,32","0,71","0,61","0,38","0,77","0,17","0,37","0,40",,,,,,,,
nov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,57","0,54","0,54","0,53","1,11","0,07","0,18","-0,25",,,,,,,,
dez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,51","0,74","0,72","0,62","0,90","0,14","0,26","0,14",,,,,,,,
jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,36","0,19","0,27","0,67","0,46","0,57",,
fev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,54","0,17","0,82","1,00","0,77","0,81",,
mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,77","0,18","0,86","1,71","0,64","0,19",,
abr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,60","-0,23","0,38","1,04","0,53","0,37",,
mai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,15","-0,25","0,96","0,45","0,36","0,46",,
jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,01","0,30","0,60","0,62","-0,10","0,25",,
jul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,10","0,44","1,02","-0,60","-0,09","0,26",,
ago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,12","0,36","0,88","-0,31","0,20","-0,14",,
set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-0,05","0,87","1,20","-0,32","0,11","0,48",,
out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,04","0,89","1,16","0,47","0,12","0,61",,
nov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,54","0,95","0,84","0,38","0,10","0,33",,
dez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,22","1,46","0,73","0,69","0,55","0,48",,
